rgz_name,name,name:rs,name:it,name:hu,loc_name,name:etymology:wikidata
Put Valsaresi - Strada Valsaresi,Put Valsaresi,,Strada Valsaresi,,,
Put za kanalić - Via Canaletto,Put za kanalić,,Via Canaletto,,,
Putinjina ulica - Via Vittorio Puttigna,Putinjina ulica,,Via Vittorio Puttigna,,,
Rabarova ulica - Via Ivan Rabar,Rabarova ulica,,Via Ivan Rabar,,,
Radanići - Radanici,Radanići,,Radanici,,,
Rade Končara,Ulica Rade Končara,,Via Rade Končar,,,Q640602
Radićeva ulica - Via Stjepan Radić,Radićeva ulica,,Via Stjepan Radić,,,
Radini - Radini,Radini,,Radini,,,
Radnička ulica - Via degli operai,Radnička ulica,,Via degli operai,,,
Radnička ulica - Via dei Lavoratori,Radnička ulica,,Via dei Lavoratori,,,
Radovac - Radovaz,Radovac,,Radovaz,,,
Rajka Stipe,Ulica Rajka Stipe,,,,,
Rajna,Rajna ulica,,,Rajna utca,,
Rakari - Raccari,Rakari,,Raccari,,,
Rakovčeva ulica - Via Joakim Rakovac,Rakovčeva ulica,,Via Joakim Rakovac,,,
Rakovci - Racovaz,Rakovci,,Racovaz,,,
Rapiciov prilaz - Via Andrea Rapicio,Rapiciov prilaz,,Via Andrea Rapicio,,,
Rapska,Rapska ulica,,Via Arpe,,,Q13277
Raška ulica - Via Arsia,Raška ulica,,Via Arsia,,,
Raskršće - Crosera,Raskršće,,Crosera,,,
Rasparaganov uspon - Clivo Rasparagano,Rasparaganov uspon,,Clivo Rasparagano,,,
Rašporska ulica - Via Raspor,Rašporska ulica,,Via Raspor,,,
Ratarska ulica - Via degli agricoltori,Ratarska ulica,,Via degli agricoltori,,,
Ravenska ulica - Via Ravenna,Ravenska ulica,,Via Ravenna,,,
Ravna dolina - Valdepian,Ravna dolina,,Valdepian,,,
Ravnica - Raunizza,Ravnica,,Raunizza,,,
Ražmani - Rasmani,Ražmani,,Rasmani,,,
Ražmani na cesti - Rasmani in strada,Ražmani na cesti,,Rasmani in strada,,,
Regancini - Reganzini,Regancini,,Reganzini,,,
Respili - Respilli,Respili,,Respilli,,,
Revelanteova ulica - Via Giulio Revelante,Revelanteova ulica,,Via Giulio Revelante,,,
Ribarnička ulica - Via Pescheria,Ribarnička ulica,,Via Pescheria,,,
Ribarska ulica - Via dei pescatori,Ribarska ulica,,Via dei pescatori,,,
Ribarska ulica - Via dei Pescatori,Ribarska ulica,,Via dei Pescatori,,,
Ribarski prolaz - Passo dei pescatori,Ribarski prolaz,,Passo dei pescatori,,,
Ribarski trg,Ribarski trg,,Piazza dei Pescatori,,,
Riječka ulica - Via Fiume,Riječka ulica,,Via Fiume,,,
Riječki gat - Molo Fiume,Riječki gat,,Molo Fiume,,,
Riva - Riva,Riva,,Riva,,,
Riva istok - Riva Est,Riva istok,,Riva Est,,,
Riva zapad - Riva Ovest,Riva zapad,,Riva Ovest,,,
Rizzijeva ulica - Via Lodovico Rizzi,Rizzijeva ulica,,Via Lodovico Rizzi,,,
Ročka,Ročka ulica,,Via Rozzo,,,
Ročki prilaz - Androna Rozzo,Ročki prilaz,,Androna Rozzo,,,
Rohreggerova ulica - Via Riccardo Rohregger,Rohreggerova ulica,,Via Riccardo Rohregger,,,
Romanija - Romania,Romanija,,Romania,,,
Rotarija - Rotteria,Rotarija,,Rotteria,,,
Rovini-Malini - Rovini-Malini,Rovini-Malini,,Rovini-Malini,,,
Rovinjska,Rovinjska ulica,,Via Rovigno,,,Q5316
Rovinjska ulica - Via Rovigno,Rovinjska ulica,,Via Rovigno,,,Q5316
Rožac - Rosazzo,Rožac,,Rosazzo,,,
Rožmanija - Rosmania,Rožmanija,,Rosmania,,,
Rucaj - Ruzzai,Rucaj,,Ruzzai,,,
Rudarska ulica - Via dei Minatori,Rudarska ulica,,Via dei Minatori,,,
Rudići - Rudici,Rudići,,Rudici,,,
Rumeni - Rumeni,Rumeni,,Rumeni,,,
Rupeni - Rupena,Rupeni,,Rupena,,,
Rušeti - Russeti,Rušeti,,Russeti,,,
Ružina ulica - Rozsa Utca,Ružina ulica,,,Rozsa Utca,,
Šabani - Sabani,Šabani,,Sabani,,,
Šaini - Saini,Šaini,,Saini,,,
Šaini (kod Malini) - Saini (di Malini),Šaini (kod Malini),,Saini (di Malini),,,
Šaltarija - Salteria,Šaltarija,,Salteria,,,
Salvela - Salvela,Salvela,,Salvela,,,
Salvela (Stancija),Salvela,,,,Salvela Stancija,
San Marko,Sveti Marko,,San Marko,,,
Šandaljska ulica - Via San Daniele,Šandaljska ulica,,Via San Daniele,,,
Santarija,Santarija,,Santaria,,,
Santoriova ulica - Via Santorio Santorio,Santoriova ulica,,Via Santorio Santorio,,,
Sarbarica - Sarbarizza,Sarbarica,,Sarbarizza,,,
Šauli - Sauli,Šauli,,Sauli,,,
Save Vukelića,Ulica Save Vukelića,,Via Savo Vukelić,,,Q3446553
Savičentska ulica - Via Sanvincenti,Savičentska ulica,,Via Sanvincenti,,,
Šavleti - Sauletti,Šavleti,,Sauletti,,,
Savudrija - Salvore,Savudrija,,Salvore,,,
Savudrijska ulica - Via Salvore,Savudrijska ulica,,Via Salvore,,,
Sažoni - Sasoni,Sažoni,,Sasoni,,,
Scalierova ulica - Via Luigi Scalier,Scalierova ulica,,Via Luigi Scalier,,,
Šćavonija - Schiavonia,Šćavonija,,Schiavonia,,,
Ščavonija - Schiavonia,Ščavonija,,Schiavonia,,,
Schiavuzzijev prilaz - Via Bernardo Schiavuzzi,Schiavuzzijev prilaz,,Via Bernardo Schiavuzzi,,,
Sedma ulica - Settima Strada,Sedma ulica,,Settima Strada,,,
Šegalini - Segalini,Šegalini,,Segalini,,,
Šegari - Segari,Šegari,,Segari,,,
Seget - Seghetto,Seget,,Seghetto,,,
Segetska ulica - Via Seghetto,Segetska ulica,,Via Seghetto,,,
Šenoina ulica - Via August Šenoa,Šenoina ulica,,Via August Šenoa,,,
Šeraje - Seraie,Šeraje,,Seraie,,,
Serliov prilaz - Androna Sebastiano Serlio,Serliov prilaz,,Androna Sebastiano Serlio,,,
Šesnaesta ulica - Sedicesima Strada,Šesnaesta ulica,,Sedicesima Strada,,,
Šesta ulica - Sesta Strada,Šesta ulica,,Sesta Strada,,,
Šetalište Antona Restovića,Šetalište Antona Restovića,,Lungomare Anton Restović,,,Q25497533
Šetalište Belvedere - Strada Belvedere,Šetalište Belvedere,,Strada Belvedere,,,
Šetalište Cuvi - Lungomare Cuvi,Šetalište Cuvi,,Lungomare Cuvi,,,
Šetalište Miramare - Viale Miramare,Šetalište Miramare,,Viale Miramare,,,
Šetalište Santarel - Lungomare Santarel,Šetalište Santarel,,Lungomare Santarel,,,
Šetalište uvale Lone - Lungomare cul di Lone,Šetalište uvale Lone,,Lungomare cul di Lone,,,
Šetalište Vijeća Europe - Lungomare del Consiglio d'Europa,Šetalište Vijeća Europe,,Lungomare del Consiglio d'Europa,,,
Šetalište Vladimira Gortana - Viale Vladimir Gortan,Šetalište Vladimira Gortana,,Viale Vladimir Gortan,,,
Šibenija - Sibenia,Šibenija,,Sibenia,,,
Šibenska ulica - Via Sebenico,Šibenska ulica,,Via Sebenico,,,
Šijanska cesta - Via Siana,Šijanska cesta,,Via Siana,,,
Šikićanska ulica - Via Sichici,Šikićanska ulica,,Via Sichici,,,
Simonetija - Simonetia,Simonetija,,Simonetia,,,
Sipar - Sipar,Sipar,,Sipar,,,
Siparina - Siparina,Siparina,,Siparina,,,
Siparska ulica - Via Sipar,Siparska ulica,,Via Sipar,,,
Širolina ulica - Via Vitomir Širola Pajo,Širolina ulica,,Via Vitomir Širola Pajo,,,
Sisačka ulica - Via Sisak,Sisačka ulica,,Via Sisak,,,
Šišanska cesta - Via Sissano,Šišanska cesta,,Via Sissano,,,
Šistak,Šistak,,,,,
Škaleta - Scaletta,Škaleta,,Scaletta,,,
Škarjevac - Scarievaz,Škarjevac,,Scarievaz,,,
Škarlanija - Scarlania,Škarlanija,,Scarlania,,,
Škataranska ulica - Via Scattari,Škataranska ulica,,Via Scattari,,,
Škavaci - Scavazzi,Škavaci,,Scavazzi,,,
Škavnice - Scavnize,Škavnice,,Scavnize,,,
Škeri - Scheri,Škeri,,Scheri,,,
Škofi - Scoffi,Škofi,,Scoffi,,,
Školska ulica - Via della Scuola,Školska ulica,,Via della Scuola,,,
Školski trg - Piazza della scuola,Školski trg,,Piazza della scuola,,,
Škrile - Scrile,Škrile,,Scrile,,,
Škrinjari - Scrignari,Škrinjari,,Scrignari,,,
Škrlići - Scherlici,Škrlići,,Scherlici,,,
Škrlini - Scarlini,Škrlini,,Scarlini,,,
Škudelin - Scudelin,Škudelin,,Scudelin,,,
Škverska ulica - Via Squero,Škverska ulica,,Via Squero,,,
Slavonska ulica - Via Slavonia,Slavonska ulica,,Via Slavonia,,,
Slijepa ulica - Calle Orba,Slijepa ulica,,Calle Orba,,,
Smareglijeva ulica - Via Antonio Smareglia,Smareglijeva ulica,,Via Antonio Smareglia,,,
Smareglina ulica - Via Antonio Smareglia,Smareglina ulica,,Via Antonio Smareglia,,,
Smilovići - Smilovici,Smilovići,,Smilovici,,,
Soline - Soline,Soline,,Soline,,,
Šorgi - Sorghi,Šorgi,,Sorghi,,,
Sosa - Sossa,Sosa,,Sossa,,,
Soši - Sossi,Soši,,Sossi,,,
Sošići - Sossici,Sošići,,Sossici,,,
Špadići,Ulica Špadići,,Via Spada,,,
Španjolskih boraca,Ulica španjolskih boraca,,Via Combattenti Spagnoli,,,Q2987146
Specijarija - Speziaria,Specijarija,,Speziaria,,,
Specola - Specola,Specola,,Specola,,,
Špina - Spina,Špina,,Spina,,,
Spinčićeva ulica - Via Vjekoslav Spinčić,Spinčićeva ulica,,Via Vjekoslav Spinčić,,,
Špinel - Spinel,Špinel,,Spinel,,,
Špinotija - Spinottia,Špinotija,,Spinottia,,,
Splitska ulica - Via Spalato,Splitska ulica,,Via Spalato,,,
Sponzina ulica - Via Francesco Sponza,Sponzina ulica,,Via Francesco Sponza,,,
Sportska,Sportska ulica,,,Sport utca,,
Srednja ulica - Via media,Srednja ulica,,Via media,,,
St. Angelini,Stancija Angelini,,Stanzia Angelini,,,
St. Gatti,Stancija Gatti,,Stanzia Gatti,,,
Stancija,Stancija,,Stanzia,,,
Stancija Ambrozi - Stanzia Ambrosi,Stancija Ambrozi,,Stanzia Ambrosi,,,
Stancija Amorozo,Stancija Amorozo,,Stanzia Amorozo,,,
Stancija Benuška,Stancija Benuška,,Stanzia Benuška,,,
Stancija Bergamante,Stancija Bergamante,,Stanzia Bergamante,,,
Stancija Božić - Stanzia Bozic,Stancija Božić,,Stanzia Bozic,,,
Stancija Bracanija - Stanzia Brazzania,Stancija Bracanija,,Stanzia Brazzania,,,
Stancija Bružada - Stanzia Brusada,Stancija Bružada,,Stanzia Brusada,,,
Stancija Druškovići - Stanzia Drušković,Stancija Druškovići,,Stanzia Drušković,,,
Stancija Fava - Stanzia Fava,Stancija Fava,,Stanzia Fava,,,
Stancija Gržina,Stancija Gržina,,Stancia Ghersina,,,
Stancija Koči - Stancia Coci,Stancija Koči,,Stancia Coci,,,
Stancija Koraca - Stanzia Corazza,Stancija Koraca,,Stanzia Corazza,,,
Stancija Lakoti - Stanzia Lacoti,Stancija Lakoti,,Stanzia Lacoti,,,
Stancija Loj - Stanzia Loi,Stancija Loj,,Stanzia Loi,,,
Stancija Padovan,Stancija Padovan,,Stanzia Padovan,,,
Stancija Petrinja - Stanzia Petrigna,Stancija Petrinja,,Stanzia Petrigna,,,
Stancija Rosello - Stanzia Rosello,Stancija Rosello,,Stanzia Rosello,,,
Stancija Silić - Stanzia Sillich,Stancija Silić,,Stanzia Sillich,,,
Stancija Šparanja - Stanzia Sparagna,Stancija Šparanja,,Stanzia Sparagna,,,
Stancija Torčelo - Stanzia Torcello,Stancija Torčelo,,Stanzia Torcello,,,
Stancija Viđini - Stanzia Vigini,Stancija Viđini,,Stanzia Vigini,,,
Stancija Vinjeri - Stanzia Vigneri,Stancija Vinjeri,,Stanzia Vigneri,,,
Stancija Vodopija - Stanzia Bevilacqua,Stancija Vodopija,,Stanzia Bevilacqua,,,
Stancija Volpi,Stancija Volpi,,Stanzia Volpi,,,
Stancija Zrinjska - Stanzia Zrinsca,Stancija Zrinjska,,Stanzia Zrinsca,,,
Stancija Zubin - Stanzia Zubin,Stancija Zubin,,Stanzia Zubin,,,
Stancijeta - Stanzietta,Stancijeta,,Stanzietta,,,
Stanica - Stazione,Stanica,,Stazione,,,
Stanići - Stanici,Stanići,,Stanici,,,
Stanična ulica - Via stazione,Stanična ulica,,Via stazione,,,
Stankovićeva ulica - Via Pietro Stancovich,Stankovićeva ulica,,Via Pietro Stancovich,,,
Starići - Starici,Starići,,Starici,,,
Štelki - Stelchi,Štelki,,Stelchi,,,
Stella Maris - Stella Maris,Stella Maris,,Stella Maris,,,
Šterna - Sterna,Šterna,,Sterna,,,
Sterpin - Sterpin,Sterpin,,Sterpin,,,
Štifanići - Stifanici,Štifanići,,Stifanici,,,
Stiglicheva ulica - Via Alfredo Stiglich,Stiglicheva ulica,,Via Alfredo Stiglich,,,
Štinjanska cesta - Via Stignano,Štinjanska cesta,,Via Stignano,,,
Stj. Konzula Istranina,Ulica Stjepana Konzula Istranina,,Via Stjepan Konzul Istranin,,,Q12642793
Stolarska ulica - Via dei falegnami,Stolarska ulica,,Via dei falegnami,,,
Strahi - Strachi,Strahi,,Strachi,,,
Stražice - Strasize,Stražice,,Strasize,,,
Štrcaj - Sterzai,Štrcaj,,Sterzai,,,
Štrika - Strica,Štrika,,Strica,,,
Štroligarija - Stroligheria,Štroligarija,,Stroligheria,,,
Strossmayerova ulica - Via Josip Juraj Strossmayer,Strossmayerova ulica,,Via Josip Juraj Strossmayer,,,
Stube iza tvrđave - Scaletta dietro castello,Stube iza tvrđave,,Scaletta dietro castello,,,
Stube Jurine i Franine - Scalinata Jurina e Franina,Stube Jurine i Franine,,Scalinata Jurina e Franina,,,
Stube Villa - Gradinata Villa,Stube Villa,,Gradinata Villa,,,
Studenčeva ulica - Via Petar Studenac,Studenčeva ulica,,Via Petar Studenac,,,
Suhi Lug - Bosco Secco,Suhi Lug,,Bosco Secco,,,
Sunčana ulica - Via soleggiata,Sunčana ulica,,Via soleggiata,,,
Sunčana ulica - Via Soleggiata,Sunčana ulica,,Via Soleggiata,,,
Supilova ulica - Via Frano Supilo,Supilova ulica,,Via Frano Supilo,,,
Šušnjići - Susnici,Šušnjići,,Susnici,,,
Suza planina,AdminUnitName.5006123,,61743,Suza,,4thOrder
Sv. Eleuterija,Ulica svetog Eleuterija,,Via San Eleuterio,,,
Sv. Maura,Ulica svetog Maura,,Via San Mauro,,,Q380345
Švalbina ulica - Via Vladimir Švalba-Vid,Švalbina ulica,,Via Vladimir Švalba-Vid,,,
Šverki - Sferchi,Šverki,,Sferchi,,,
Sveta Cecilija,Sveta Cecilija,,,,,Q80513
Sveta Jelena - Santa Elena,Sveta Jelena,,Santa Elena,,,
Sveta Lucija - Santa Lucia,Sveta Lucija,,Santa Lucia,,,
Sveta Marija na Krasu - Madonna del Carso,Sveta Marija na Krasu,,Madonna del Carso,,,
Sveti Duh - Santo Spirito,Sveti Duh,,Santo Spirito,,,
Sveti Ivan - San Giovanni,Sveti Ivan,,San Giovanni,,,
Sveti Juraj - San Giorgio,Sveti Juraj,,San Giorgio,,,
Sveti Mavar - San Mauro,Sveti Mavar,,San Mauro,,,
Sveti Pelegrin - San Pellegrino,Sveti Pelegrin,,San Pellegrino,,,
Sveti Petar - San Pietro,Sveti Petar,,San Pietro,,,
Sveti Servul - San Servolo,Sveti Servul,,San Servolo,,,
Sveti Silvestar - San Silvestro,Sveti Silvestar,,San Silvestro,,,
Sveti Stjepan - San Stefano,Sveti Stjepan,,San Stefano,,,
Sveti Valentin - San Valentino,Sveti Valentin,,San Valentino,,,
Sveti Vid - San Vito,Sveti Vid,,San Vito,,,
Svjetioničarska ulica - Via del Faro,Svjetioničarska ulica,,Via del Faro,,,
Svodna ulica - Via del Volto,Svodna ulica,,Via del Volto,,,
"T. n. ""Monsena""",Turističko naselje Monsena,,,,,
"T. n. ""Val de Lesso""",Turističko naselje Val de Lesso,,,,,
Talari - Talleri,Talari,,Talleri,,,
Tarska,Tarska ulica,,Via Torre,,,
Tarska ulica - Via Torre,Tarska ulica,,Via Torre,,,
Tartinijeva ulica - Via Giuseppe Tartini,Tartinijeva ulica,,Via Giuseppe Tartini,,,
Tašići - Tassici,Tašići,,Tassici,,,
Tavijanija - Taviania,Tavijanija,,Taviania,,,
Templarski prilaz - Via dei Templari,Templarski prilaz,,Via dei Templari,,,
Tentorova ulica - Via Ante Tentor,Tentorova ulica,,Via Ante Tentor,,,
Tere - Terre,Tere,,Terre,,,
Teslina ulica - Via Nikola Tesla,Teslina ulica,,Via Nikola Tesla,,,Q9036
Tigor - Tigor,Tigor,,Tigor,,,
Tina Ujevića,Ulica Tina Ujevića,,Via Tin Ujević,,,Q347643
Tinjanska,Tinjanska ulica,,Via Antignana,,,
Tiola - Tiola,Tiola,,Tiola,,,
Titova riva - Riva Tito,Titova riva,,Riva Tito,,,
Tivolski put - Vicolo Tivoli,Tivolski put,,Vicolo Tivoli,,,
Tkalačka ulica - Via dei tessitori,Tkalačka ulica,,Via dei tessitori,,,
Todeški - Todeschi,Todeški,,Todeschi,,,
Tomasinijeva ulica - Via Giacomo Filippo Tomasini,Tomasinijeva ulica,,Via Giacomo Filippo Tomasini,,,
Tommaseova ulica - Via Nicolò Tommaseo,Tommaseova ulica,,Via Nicolò Tommaseo,,,
Trampuši - Trampussi,Trampuši,,Trampussi,,,
Treća ulica - Terza Strada,Treća ulica,,Terza Strada,,,
Trevisol - Trevisol,Trevisol,,Trevisol,,,
Trg 1. svibnja - Piazza Primo Maggio,Trg 1. svibnja,,Piazza Primo Maggio,,,
Trg Ač Gedeona - Ács Gedeon Tér,Trg Ač Gedeona,,,Ács Gedeon Tér,,
Trg Andree Antica - Piazza Andrea Antico,Trg Andree Antica,,Piazza Andrea Antico,,,
Trg Anne Marije Smocovich - Piazza Anna Maria Smocovich,Trg Anne Marije Smocovich,,Piazza Anna Maria Smocovich,,,
Trg Ante Babića - Piazza Ante Babić,Trg Ante Babića,,Piazza Ante Babić,,,
Trg Antona Grabara,Trg Antona Grabara,,Piazza Anton Grabar,,,Q3448734
Trg Antonija Gramscija - Piazza Antonio Gramsci,Trg Antonija Gramscija,,Piazza Antonio Gramsci,,,
Trg Brajde - Piazza Braide,Trg Brajde,,Piazza Braide,,,
Trg Brodogradilišta - Piazzetta degli squeri,Trg Brodogradilišta,,Piazzetta degli squeri,,,
Trg Cornera - Piazza Corner,Trg Cornera,,Piazza Corner,,,
Trg Ferruccia Poiania - Piazza Ferruccio Poiania,Trg Ferruccia Poiania,,Piazza Ferruccio Poiania,,,
Trg Finide - Piazza Finida,Trg Finide,,Piazza Finida,,,
Trg fontana - Piazza fontana,Trg fontana,,Piazza fontana,,,
Trg Frana Supila,Trg Frana Supila,,Piazza Frano Supilo,,,Q692107
Trg G. Pignaton - Piazza G. Pignaton,Trg G. Pignaton,,Piazza G. Pignaton,,,
Trg glagoljaša - Piazza dei glagolitici,Trg glagoljaša,,Piazza dei glagolitici,,,
Trg I. istarske brigade - Piazza della I brigata istriana,Trg I. istarske brigade,,Piazza della I brigata istriana,,,
Trg istarskih mučenika - Piazza dei martiri istriani,Trg istarskih mučenika,,Piazza dei martiri istriani,,,
Trg javne vage - Largo della pesa,Trg javne vage,,Largo della pesa,,,
Trg Joakima Rakovca,Trg Joakima Rakovca,,Piazza Joakim Rakovac,,,Q12747705
Trg Josipa Broza Tita - Piazza Josip Broz Tito,Trg Josipa Broza Tita,,Piazza Josip Broz Tito,,,
Trg kneza Branimira,Trg kneza Branimira,,Piazza knez Branimir,,,Q898531
Trg kralja Epulona - Piazza re Epulo,Trg kralja Epulona,,Piazza re Epulo,,,
Trg Kralja Tomislava - Piazza Re Tomislav,Trg Kralja Tomislava,,Piazza Re Tomislav,,,
Trg La musa - Piazza La musa,Trg La musa,,Piazza La musa,,,
Trg Lođe - Piazza della Loggia,Trg Lođe,,Piazza della Loggia,,,
Trg Lože - Piazza della Loggia,Trg Lože,,Piazza della Loggia,,,
Trg Marafor,Trg Marafor,,Piazza Marafor,,,
Trg Marije i Line - Piazza Maria e Lina,Trg Marije i Line,,Piazza Maria e Lina,,,
Trg maršala Tita - Piazza Maresciallo Tito,Trg maršala Tita,,Piazza Maresciallo Tito,,,
Trg Matije Gupca,Trg Matije Gupca,,Piazza Matija Gubec,,,Q715968
Trg Mazzini - Piazza Mazzini,Trg Mazzini,,Piazza Mazzini,,,
Trg na Križu - Piazzale al Cristo,Trg na Križu,,Piazzale al Cristo,,,
Trg na lokvi - Piazzale del laco,Trg na lokvi,,Piazzale del laco,,,
Trg na mostu - Piazza al Ponte,Trg na mostu,,Piazza al Ponte,,,
Trg na mostu - Piazza del ponte,Trg na mostu,,Piazza del ponte,,,
Trg obitelji de Vergottini - Piazza de Vergottini,Trg obitelji de Vergottini,,Piazza de Vergottini,,,
Trg palih boraca - Piazza ai caduti,Trg palih boraca,,Piazza ai caduti,,,
Trg Poceto - Piazza Pozzeto,Trg Poceto,,Piazza Pozzeto,,,
Trg Portarata - Piazza Port'aurea,Trg Portarata,,Piazza Port'aurea,,,
Trg Prvog svibnja - Piazza Primo maggio,Trg Prvog svibnja,,Piazza Primo maggio,,,
Trg Republike - Piazza della Repubblica,Trg Republike,,Piazza della Repubblica,,,
Trg Ruggera Paladina - Piazza Ruggero Paladin,Trg Ruggera Paladina,,Piazza Ruggero Paladin,,,
Trg Sant'Elena - Piazza Sant'Elena,Trg Sant'Elena,,Piazza Sant'Elena,,,
Trg slobode,Trg slobode,,Piazza della Libertà,,,
Trg Slobode - Piazza della Liberta,Trg Slobode,,Piazza della Liberta,,,
Trg slobode - Piazza libertà,Trg slobode,,Piazza libertà,,,
Trg slobode - Piazza Libertà,Trg slobode,,Piazza Libertà,,,
Trg Stara korta - Piazza Corte Vecchia,Trg Stara korta,,Piazza Corte Vecchia,,,
Trg Stara tržnica - Piazza Mercato vecchio,Trg Stara tržnica,,Piazza Mercato vecchio,,,
Trg Stare škole - Piazza Scuola vecchia,Trg Stare škole,,Piazza Scuola vecchia,,,
Trg Statuta - Piazza dello Statuto,Trg Statuta,,Piazza dello Statuto,,,
Trg sv. Eufemije - Piazzale s. Eufemia,Trg sv. Eufemije,,Piazzale s. Eufemia,,,
Trg sv. Kuzme i Damjana - Piazza S. Cosimo e Damiano,Trg sv. Kuzme i Damjana,,Piazza S. Cosimo e Damiano,,,
Trg sv. Pelagija - Piazzale s. Pelagio,Trg sv. Pelagija,,Piazzale s. Pelagio,,,
Trg sv. Tome - P.zza San Tommaso,Trg sv. Tome,,P.zza San Tommaso,,,
Trg svetog Martina - Piazza San Martino,Trg svetog Martina,,Piazza San Martino,,,
Trg svetog Servola - Piazza San Servolo,Trg svetog Servola,,Piazza San Servolo,,,
Trg svetog Zenona - Piazza San Zenone,Trg svetog Zenona,,Piazza San Zenone,,,
Trg Tomaso Bembo - Piazza Tomaso Bembo,Trg Tomaso Bembo,,Piazza Tomaso Bembo,,,
Trg ulika - Piazza degli olivi,Trg ulika,,Piazza degli olivi,,,
Trg Valdibora,Trg Valdibora,,,,,
Trg Velog Jože - Piazza Veli Jože,Trg Velog Jože,,Piazza Veli Jože,,,
Trg Venecije - Piazza Venezia,Trg Venecije,,Piazza Venezia,,,
Trgovačka ulica - Via Commerciale,Trgovačka ulica,,Via Commerciale,,,
Trgovačka ulica - Via Merceria,Trgovačka ulica,,Via Merceria,,,
Triban - Tribano,Triban,,Tribano,,,
Trierska ulica - Via Trier,Trierska ulica,,Via Trier,,,
Trinajstićeva ulica - Via Dinko Trinajstić,Trinajstićeva ulica,,Via Dinko Trinajstić,,,
Trkusi - Tarcussi,Trkusi,,Tarcussi,,,
Tršćanska ulica - Via Trieste,Tršćanska ulica,,Via Trieste,,,
Turini - Turini,Turini,,Turini,,,
Turistička,Turistička ulica,,,,,
Turkija - Turchia,Turkija,,Turchia,,,
Turtijanska ulica - Via Tortigliano,Turtijanska ulica,,Via Tortigliano,,,
Turulska ulica - Via Turulla,Turulska ulica,,Via Turulla,,,
Učki uspon - Clivo Monte Maggiore,Učki uspon,,Clivo Monte Maggiore,,,
Ujevićeva ulica - Via Tin Ujević,Ujevićeva ulica,,Via Tin Ujević,,,
Ul. Dolinja Vas - Via Villa di Sotto,Ulica Dolinja Vas,,Via Villa di Sotto,,,
Ul. Gorinja Vas - Via Villa di Sopra,Ulica Gorinja Vas,,Via Villa di Sopra,,,
Ulica 1. maja - Via 1. Maggio,Ulica 1. maja,,Via 1. Maggio,,,
Ulica 1. maja - Via 1. maggio,Ulica 1. maja,,Via 1. maggio,,,
Ulica 1. svibnja - Via Primo Maggio,Ulica 1. svibnja,,Via Primo Maggio,,,
Ulica 1. svibnja - Via Primo maggio,Ulica 1. svibnja,,Via Primo maggio,,,
Ulica 154. brigade Hrvatske vojske - Via 154ª Brigata dell'Esercito croato,Ulica 154. brigade Hrvatske vojske,,Via 154. brigata dell' esercito Croato,,,
Ulica 154. brigade HV - Via della 154a brigata dell'EC,Ulica 154. brigade HV,,Via della 154ª brigata dell'EC,,,
Ul. 154. brigade HV-a - Via della 154ª brigata dell'EC,Ulica 154. brigade HV-a,,Via della 154ª brigata dell'EC,,,
Ulica 16. januara - Via 16. gennaio,Ulica 16. januara,,Via 16. gennaio,,,
Ulica 43. istarske divizije - Via 43. Divisione Istriana,Ulica 43. istarske divizije,,Via 43. Divisione Istriana,,,
Ulica 43. istarske divizije - Via 43ª Divisione Istriana,Ulica 43. istarske divizije,,Via 43ª Divisione Istriana,,,
Ulica 43. istarske divizije - Via della 43. a divisione istriana,Ulica 43. istarske divizije,,Via della 43ª divisione istriana,,,
Ulica 43. istarske divizije - Via della 43a Divisione istriana,Ulica 43. istarske divizije,,Via della 43ª Divisione istriana,,,
Ulica 43. istarske divizije - Via della XLIII divisione istriana,Ulica 43. istarske divizije,,Via della XLIII divisione istriana,,,
Ulica 6. svibnja - Via 6 Maggio,Ulica 6. svibnja,,Via 6 Maggio,,,
Ulica 8. ožujka - Via 8 Marzo,Ulica 8. ožujka,,Via 8 Marzo,,,
Ulica Agnana - Via Agnana,Ulica Agnana,,Via Agnana,,,
Ulica Albonosi - Via Albonosi,Ulica Albonosi,,Via Albonosi,,,
Ulica Alda Negria - Via Aldo Negri,Ulica Alda Negria,,Via Aldo Negri,,,
Ulica Aldo Negri - Via Aldo Negri,Ulica Aldo Negri,,Via Aldo Negri,,,
Ulica Aleksandra Rukavine - Via Aleksandar Rukavina,Ulica Aleksandra Rukavine,,Via Aleksandar Rukavina,,,
Ulica Alessandra Manzonia - Via Alessandro Manzoni,Ulica Alessandra Manzonia,,Via Alessandro Manzoni,,,
Ulica Alide Valli - Via Alida Valli,Ulica Alide Valli,,Via Alida Valli,,,Q106940
Ulica Andree Amorosa - Via Andrea Amoroso,Ulica Andree Amorosa,,Via Andrea Amoroso,,,
Ulica Andree iz Bala - Via Andrea da Valle,Ulica Andree iz Bala,,Via Andrea da Valle,,,
Ulica Andreje Milosse - Via Andrea Milossa,Ulica Andreje Milosse,,Via Andrea Milossa,,,
Ulica Andrije Motovunjanina - Via Andrea Antico da Montona,Ulica Andrije Motovunjanina,,Via Andrea Antico da Montona,,,
Ulica Ane Rukavine - Via Ana Rukavina,Ulica Ane Rukavine,,Via Ana Rukavina,,,Q8544342
Ulica Angela Medice - Via Angelo Medica,Ulica Angela Medice,,Via Angelo Medica,,,
Ulica Angela Zulianija - Via Angelo Zuliani,Ulica Angela Zulianija,,Via Angelo Zuliani,,,
