rgz_name,name,name:rs,name:it,name:hu,loc_name,name:etymology:wikidata
Cekini - Zechini,Cekini,,Zechini,,,
Celega - Celega,Celega,,Celega,,,
Čendaki - Cendachi,Čendaki,,Cendachi,,,
Centar - Centro,Centar,,Centro,,,
Čepić - Ceppich,Čepić,,Ceppich,,,
Čepljani - Ceppiani,Čepljani,,Ceppiani,,,
Cerje - Cerie,Cerje,,Cerie,,,
Cerneccina ulica - Via Domenico Cernecca,Cerneccina ulica,,Via Domenico Cernecca,,,Q18811853
Červar - Cervera,Červar,,Cervera,,,
Cesta Contessa - Strada Contessa,Cesta Contessa,,Strada Contessa,,,
Cesta prekom. brigada - Strada delle brigate d'oltremare,Cesta prekom. brigada,,Strada delle brigate d'oltremare,,,
Cesta sv. Maksimijana iz Veštra - Strada s. Massimiano da Vestre,Cesta sv. Maksimijana iz Veštra,,Strada s. Massimiano da Vestre,,,
Cesta za Mondelaco - Strada per Mondelaco,Cesta za Mondelaco,,Strada per Mondelaco,,,
Cesta za Rovinjsko Selo - Strada per Villa di Rovigno,Cesta za Rovinjsko Selo,,Strada per Villa di Rovigno,,,
Cesta za Škarabu - Strada per Scaraba,Cesta za Škarabu,,Strada per Scaraba,,,
Cesta za Valaltu-Lim - Strada per Valalta-Leme,Cesta za Valaltu-Lim,,Strada per Valalta-Leme,,,
Četvrta ulica - Quarta Strada,Četvrta ulica,,Quarta Strada,,,
Čirkoti - Circoti,Čirkoti,,Circoti,,,
Ciscuttijeva ulica - Via Pietro Ciscutti,Ciscuttijeva ulica,,Via Pietro Ciscutti,,,
Clerisseauova ulica - Via Charles-Luis Clerisseau,Clerisseauova ulica,,Via Charles-Luis Clerisseau,,,
Coattova ulica - Via Angelo Coatto,Coattova ulica,,Via Angelo Coatto,,,
Coceicheva ul. - Via Matteo Coceich,Coceicheva ul.,,Via Matteo Coceich,,,
Constantinijeve stube - Gradinata Costantini,Constantinijeve stube,,Gradinata Costantini,,,
Coppova ulica - Via Pietro Coppo,Coppova ulica,,Via Pietro Coppo,,,
Cotići - Zottici,Cotići,,Zottici,,,
Creska,Creska ulica,,Via Cherso,,,Q13280
Creska ulica - Via Cherso,Creska ulica,,Via Cherso,,,
Črnci - Cernaz,Črnci,,Cernaz,,,
Crni grad - Cernigrad,Crni grad,,Cernigrad,,,
Črnjina ulica - Via Zvane Črnja,Črnjina ulica,,Via Zvane Črnja,,,Q10991858
Cronache - Cronache,Cronache,,Cronache,,,
Crveni Vrh - Monte Rosso,Crveni Vrh,,Monte Rosso,,,
Čulihi - Zulici,Čulihi,,Zulici,,,
Cupilija - Zupilia,Cupilija,,Zupilia,,,
Čuši - Ciussi,Čuši,,Ciussi,,,
Cvečićev uspon - Clivo Juraj Cvečić,Cvečićev uspon,,Clivo Juraj Cvečić,,,Q20526094
Cvjetna ulica - Via dei Fiori,Cvjetna ulica,,Via dei Fiori,,,
Da Vincijeva ulica - Via Leonardo Da Vinci,Da Vincijeva ulica,,Via Leonardo Da Vinci,,,Q762
Dalmatinova ulica - Via Antun Dalmatin,Dalmatinova ulica,,Via Antun Dalmatin,,,Q12627081
Dalmatinska,Dalmatinska ulica,,Via Dalmazia,,,Q528042
Dalmatinska ulica - Via Dalmazia,Dalmatinska ulica,,Via Dalmazia,,,
Danieliši - Danielisi,Danieliši,,Danielisi,,,
Danteov trg - Piazza Dante Alighieri,Danteov trg,,Piazza Dante Alighieri,,,Q1067
De Franceschijeva ulica - Via Camillo De Franceschi,De Franceschijeva ulica,,Via Camillo De Franceschi,,,Q88158653
De Villeov uspon - Clivo Antoine De Ville,De Villeov uspon,,Clivo Antoine De Ville,,,Q2079269
Decumanus,Ulica Decumanus,,Strada Granda Decumana,,,Q959042
Denići (kod Jugovci) - Denici (di Giugovzi),Denići (kod Jugovci),,Denici (di Giugovzi),,,
Deškovići - Descovici,Deškovići,,Descovici,,,
Deveta ulica - Nona Strada,Deveta ulica,,Nona Strada,,,
Digitronska ulica - Via digitron,Digitronska ulica,,Via digitron,,,
Dinka Trinajstića,Ulica Dinka Trinajstića,,Via Dinko Trinajstić,,,Q12629832
Divkovićeva ulica - Via Matija Divković,Divkovićeva ulica,,Via Matija Divković,,,Q3299099
Dižjoti - Disiotti,Dižjoti,,Disiotti,,,
Dobricheva ulica - Via Sergio Dobrich,Dobricheva ulica,,Via Sergio Dobrich,,,
Dobrilina ulica - Via Juraj Dobrila,Dobrilina ulica,,Via Juraj Dobrila,,,Q337925
Dobriše Cesarića - Dobriše Cesarića Utca,Ulica Dobriše Cesarića,,,Dobriša Cesarić Utca,,Q259351
Dolinci - Dolinzi,Dolinci,,Dolinzi,,,
Dolinska ulica - Via della Valle,Dolinska ulica,,Via della Valle,,,
Dolinska ulica - Via Dolina,Dolinska ulica,,Via Dolina,,,
Donja Gomila - Gomila inferiore,Donja Gomila,,Gomila inferiore,,,
Donje Baredine - Baredine di Sotto,Donje Baredine,,Baredine di Sotto,,,
Donji Katunari - Cattunari Valle,Donji Katunari,,Cattunari Valle,,,
Donji Picudo - Pizzudo di Sotto,Donji Picudo,,Pizzudo di Sotto,,,
Donji Srbani - Serbani di Sotto,Donji Srbani,,Serbani di Sotto,,,
Dorina - Dorina,Dorina,,Dorina,,,
Dr. Ante Šonje,Ulica dr. Ante Šonje,,Via Ante Šonje,,,Q110133734
Draga,Draga,,Draga,,,
Draga Gervaisa,Ulica Drage Gervaisa,,Via Drago Gervais,,,Q1563541
Dragočevac - Dragocevaz,Dragočevac,,Dragocevaz,,,
Dramac - Dramaz,Dramac,,Dramaz,,,
Driovier - Driovier,Driovier,,Driovier,,,
Druga ulica - Seconda Strada,Druga ulica,,Seconda Strada,,,
Držićeva ulica - Via Marin Držić,Držićeva ulica,,Via Marin Držić,,,Q380525
Đuba - Giubba,Đuba,,Giubba,,,
Dubci - Dubzi,Dubci,,Dubzi,,,
Dubrovačka ulica - Via Ragusa,Dubrovačka ulica,,Via Ragusa,,,
Dudova ulica - Via dei gelsi,Dudova ulica,,Via dei gelsi,,,
Duga ulica - Androna lunga,Duga ulica,,Androna lunga,,,
Dugo Brdo - Semi,Dugo Brdo,,Semi,,,
Dukićeva ulica - Via Ante Dukić,Dukićeva ulica,,Via Ante Dukić,,,Q12626975
Dunavska,Dunavska ulica,,,Duna utca,,Q1653
Duri-Bolara - Duri-Bolara,Duri-Bolara,,Duri-Bolara,,,
Dvanaesta ulica - Dodicesima Strada,Dvanaesta ulica,,Dodicesima Strada,,,
Dvigradska,Dvigradska ulica,,Via Duecastelli,,,
Dvigradska ulica - Via Due Castelli,Dvigradska ulica,,Via Due Castelli,,,
Emonijska ulica - Via Emonia,Emonijska ulica,,Via Emonia,,,
Emova ulica - Via Gabriele Emo,Emova ulica,,Via Gabriele Emo,,,
Epulonova,Epulonova ulica,,Via Epulon,,,Q80707
